timestamp,equal_weight,inverse_vol,low_vol,ml_stress,ml_combined
2021-09-10,1.0,1.0,1.0,1.0,1.0
2021-09-11,1.024194110382856,1.022406421848904,1.0092001424816082,1.0,1.0
2021-09-12,1.038593710105346,1.0391212171995794,1.0419033604664647,1.0,1.0
2021-09-13,0.9922826202311178,0.9948019945706185,0.9956218958037873,1.0,1.0
2021-09-14,1.0045086990855001,1.0132872377585453,1.032023549301624,1.0,1.0
2021-09-15,1.0324138809992187,1.0424317166983708,1.0666808053728671,1.0,1.0
2021-09-16,1.006681337985145,1.0191244913718014,1.0508946766553062,1.0,1.0
2021-09-17,0.9821130139615574,0.995512028631952,1.0202064789030592,1.0,1.0
2021-09-18,1.01327427887128,1.0214265557508604,1.0338607602030268,1.0,1.0
2021-09-19,0.9704433526738606,0.982817258456702,1.0023383233021221,1.0,1.0
2021-09-20,0.8606250211335918,0.875084987016713,0.9024834549441213,1.0,1.0
2021-09-21,0.8132620857239501,0.8275095007230528,0.850169693416466,1.0,1.0
2021-09-22,0.911475956795208,0.9219132021493088,0.9355175093772833,1.0,1.0
2021-09-23,0.9260820694183628,0.938167653417716,0.9619336829723977,1.0,1.0
2021-09-24,0.8724221465614905,0.885097575879053,0.9163075534209585,1.0,1.0
2021-09-25,0.8686502848120202,0.8821082587066584,0.9176672661708681,1.0,1.0
2021-09-26,0.8687868746458567,0.8829888362712646,0.9226171655633456,1.0,1.0
2021-09-27,0.8473082643216056,0.8602072794447893,0.8906367416217017,1.0,1.0
2021-09-28,0.8200885037873108,0.833150307113323,0.8671618920102288,1.0,1.0
2021-09-29,0.8356180699150694,0.848344428133451,0.8846693301973154,1.0,1.0
2021-09-30,0.8674322791017072,0.8811296725077096,0.9169306230122019,1.0,1.0
2021-10-01,0.9491934024795008,0.9625605919443606,0.9992706896474147,1.0,1.0
2021-10-02,0.9537684367133132,0.9640154260195618,0.9875562544098178,1.0,1.0
2021-10-03,0.9663621776778548,0.9760710016217486,0.996958504866036,1.0,1.0
2021-10-04,0.9700593953928164,0.9835334607383294,1.0231133488607684,1.0,1.0
2021-10-05,0.9969296865698644,1.0135024060822635,1.05892589662392,1.0,1.0
2021-10-06,0.9991766702670434,1.0219235073256019,1.0840180847824012,1.0,1.0
2021-10-07,0.9917082126924829,1.0137972607529313,1.0685609618573653,1.0,1.0
2021-10-08,0.9931789361736553,1.0133741881919853,1.0650928492465925,1.0,1.0
2021-10-09,1.0130881762444994,1.0348361394927366,1.0802498793388529,1.0,1.0
2021-10-10,0.9717096372087061,0.9941296487000046,1.0384503191786103,1.0,1.0
2021-10-11,0.9832345477010541,1.0079146515543886,1.064997299419291,1.0,1.0
2021-10-12,0.9721732577956412,0.9932728110936402,1.041883034759511,1.0,1.0
2021-10-13,0.9905106953901623,1.0141233176491071,1.0692009440883816,1.0,1.0
2021-10-14,1.0002929440815997,1.0228371619854615,1.0680640888396433,1.0,1.0
2021-10-15,1.0355289701742614,1.056959660052307,1.103818227478168,1.0,1.0
2021-10-16,1.0236845842455604,1.0454393266544744,1.0905609261857507,1.0,1.0
2021-10-17,1.0216957121364827,1.0417359496634127,1.0756226518151586,1.0,1.0
2021-10-18,1.0177565322488449,1.0372035753237088,1.0571250480672851,1.0,1.0
2021-10-19,1.026776382119816,1.0467364050887114,1.069067839700252,1.0,1.0
2021-10-20,1.0861103872594327,1.1027310113379085,1.1248698095737546,1.0,1.0
2021-10-21,1.0614884103467501,1.0709193463698767,1.0827747793629048,1.0,1.0
2021-10-22,1.0620378554033247,1.0698959125523186,1.0779474187333367,1.0,1.0
2021-10-23,1.0798226714343802,1.0876602629591638,1.0984370625486601,1.0,1.0
2021-10-24,1.0898162520419508,1.0925593207460549,1.0792467022713874,1.0,1.0
2021-10-25,1.1062114919107253,1.108414026774529,1.0995560164730778,1.0,1.0
2021-10-26,1.0801613123225458,1.0866935627072518,1.094685660954732,1.0,1.0
2021-10-27,0.9981434949072535,1.0005244404116858,0.9960126744130458,1.0,1.0
2021-10-28,1.0835462627093333,1.0829461240518088,1.0496592262637796,1.0,1.0
2021-10-29,1.0981594431723185,1.1013519971036365,1.0747965964817774,1.0,1.0
2021-10-30,1.0708176455951541,1.0781340852550763,1.0616667428591393,1.0,1.0
2021-10-31,1.0863665376563385,1.0900721830944105,1.069161058979513,1.0,1.0
2021-11-01,1.0774244734139344,1.08224810554662,1.0572740386441515,1.0,1.0
2021-11-02,1.1198578872380673,1.1247878407690304,1.0880834313679757,1.0,1.0
2021-11-03,1.1546459129968643,1.1605016653697209,1.126038798021071,1.0,1.0
2021-11-04,1.1364780806681947,1.139947964087217,1.0955372697519576,1.0,1.0
2021-11-05,1.1155736009950734,1.1206639367717106,1.0879094428632867,1.0,1.0
2021-11-06,1.1374869634918,1.1398212745027794,1.0987838953866909,1.0,1.0
2021-11-07,1.1561735490289309,1.161765687963996,1.119872242697333,1.0,1.0
2021-11-08,1.205677692101772,1.2147759656319197,1.178370280719128,1.0,1.0
2021-11-09,1.1965537104106196,1.2109499956473435,1.1946905527721092,1.0,1.0
2021-11-10,1.1403454157869208,1.1563726652922424,1.1418331880421873,0.9547564386800632,0.9547564386800632
2021-11-11,1.1499133712634944,1.1648694137374647,1.1452641206769956,0.9576252509181954,0.9576252509181954
2021-11-12,1.1335515857740746,1.148251532551197,1.130750992990232,0.9454899388170624,0.9454899388170624
2021-11-13,1.1460466900982682,1.1585827170644893,1.1314685836403364,0.9460899601693045,0.9460899601693045
