timestamp,BTCUSDT,ETHUSDT,DOGEUSDT,SOLUSDT,XRPUSDT,ADAUSDT
2021-01-02,,,,,,
2021-01-03,,,,,,
2021-01-04,,,,,,
2021-01-05,,,,,,
2021-01-06,,,,,,
2021-01-07,,,,,,
2021-01-08,,,,,,
2021-01-09,,,,,,
2021-01-10,,,,,,
2021-01-11,,,,,,
2021-01-12,,,,,,
2021-01-13,,,,,,
2021-01-14,,,,,,
2021-01-15,,,,,,
2021-01-16,,,,,,
2021-01-17,,,,,,
2021-01-18,,,,,,
2021-01-19,,,,,,
2021-01-20,,,,,,
2021-01-21,0.0611935605662228,0.09199612511356196,0.15060096486679744,0.12965600288863413,0.07797341368034795,0.10564637207751917
2021-01-22,0.05937643446578984,0.09347072236231102,0.054468394406853186,0.13048844726621156,0.07570231080397363,0.10772552994714621
2021-01-23,0.05940446297432933,0.07933298180134618,0.05280352837462461,0.1251080648823065,0.07570492898980109,0.10449693774309134
2021-01-24,0.0590043030031444,0.08234044987250838,0.05304214207119623,0.12242679850895953,0.07525232133189025,0.10344388151011738
2021-01-25,0.057345553378639724,0.08318744010138987,0.053256823245722444,0.1165245939520554,0.07464524346137413,0.10031388159845867
2021-01-26,0.054054600724973444,0.08102778147558243,0.05177509503310329,0.11272005217066013,0.07173039230076002,0.08313272533977414
2021-01-27,0.05254910066781967,0.08423629341930756,0.05468364779525102,0.10974800543475116,0.039347007422058294,0.08249609126114249
2021-01-28,0.0571256966335478,0.08564853423874765,0.36379517808892414,0.08662878030355574,0.042033944571640836,0.0853228520822608
2021-01-29,0.057684332665102866,0.0854006104405952,0.3655595150840139,0.08610241612994657,0.04536797655928712,0.08333777714963539
2021-01-30,0.056859327509882304,0.08526696127920141,0.3859845965313884,0.08855249908142517,0.11142671035704406,0.08077728056152392
2021-01-31,0.05496640680204897,0.07903901306376422,0.3869822082772478,0.08424438576691626,0.11018032877357593,0.07886735046212127
2021-02-01,0.05442095847639016,0.07873116547347703,0.38641782975454453,0.07895598809126302,0.13087482333689998,0.086291641926814
2021-02-02,0.0516333694031758,0.07977369283968241,0.3884638302240266,0.08218124960755674,0.13065831564420985,0.08528443080809496
2021-02-03,0.052332589453348004,0.08027410539941256,0.3892153535891687,0.08091308183406865,0.13081950823906377,0.08534954753330302
2021-02-04,0.050490612769777746,0.07984697385177723,0.39376985825690486,0.08238263208415719,0.1314903170235735,0.08471816223352059
2021-02-05,0.05084559031187458,0.08060033907661704,0.39604260190666896,0.08230006690996003,0.13136928728066163,0.0899137137679812
2021-02-06,0.051002722490728174,0.08110693082483705,0.39636971146265315,0.08460048614387909,0.1315771207432277,0.09445707855360577
2021-02-07,0.05092342022882131,0.08200617041021971,0.39851377752307693,0.08544671333522601,0.13279097317325345,0.09373584420423114
2021-02-08,0.06389948026747942,0.08204745235094078,0.3981537252937434,0.08848107181461329,0.133360034515687,0.09328480091857416
2021-02-09,0.0637026658958272,0.08204325722758914,0.4006864532102069,0.0890189481736972,0.13350057814993607,0.09329683867344893
2021-02-10,0.05407077462450352,0.06287875892966334,0.3981216964713595,0.06969628142890497,0.13055729966163943,0.09342179291357496
2021-02-11,0.05418727162905053,0.05990599268526822,0.39930543056362383,0.06914226818816892,0.13053675852353092,0.0931416776176121
2021-02-12,0.05371000166112309,0.05980801777685658,0.39937877113039827,0.0700688455996787,0.13248115321605036,0.09301125339632142
2021-02-13,0.05385774518490088,0.055232002229001174,0.40045645956768605,0.07345648575903119,0.13224063827820615,0.09384669265101687
2021-02-14,0.053713090647039136,0.05313063531776179,0.40070816934667436,0.07404918047248094,0.13376901174229228,0.09658395814329983
2021-02-15,0.05418272422771395,0.053243933119955796,0.40258171985033436,0.07352262011762685,0.13597862953564083,0.09620029068926607
2021-02-16,0.05022462324782186,0.04659054911833657,0.4013739973500709,0.07085253479407977,0.13546249995311294,0.09061200388922862
2021-02-17,0.04821600253185365,0.04519340413260649,0.1941414385966493,0.07167891451535663,0.1354168036080251,0.09005216261295541
2021-02-18,0.04876972015455874,0.04550434929828596,0.19120766962302016,0.07197945004435898,0.13545846327619526,0.0897858464376965
2021-02-19,0.050333340281682744,0.04536081260632485,0.15295600293054357,0.08457350596729557,0.09364619681021359,0.09014673746763553
2021-02-20,0.04879024727034353,0.04365818442857552,0.14273526974563228,0.09433784676592699,0.09380509559602956,0.09201339558572594
2021-02-21,0.04869234864769129,0.04321793308058073,0.1415106361737393,0.09493318712972763,0.06515072832949585,0.08948498807433534
2021-02-22,0.05180639147282087,0.04469810243312772,0.1392569269963334,0.10562856761471019,0.06519402453768884,0.0901957857484196
2021-02-23,0.05767258399872072,0.04816616769112014,0.1383271790153265,0.10521131108141459,0.07753461340836756,0.09867957795530917
2021-02-24,0.057197488329743064,0.047701219686697265,0.12011693260749873,0.10549520792848943,0.07356190593056045,0.09864082806321071
2021-02-25,0.05894582042244748,0.04862220371774519,0.1203837283087032,0.12096733702471907,0.07534074060071422,0.0910687576606032
2021-02-26,0.05917101756155747,0.04862537474808628,0.11016066135196788,0.1180371248358764,0.07532141917363509,0.08973498692303448
2021-02-27,0.059084409835293096,0.048159040182748844,0.08303103802513799,0.11841674853428726,0.07428867837499374,0.08985608019799053
2021-02-28,0.04376427781847813,0.04371168356520662,0.08275806911965565,0.11494113314231469,0.07300835133587294,0.0901848385913607
2021-03-01,0.04869646680668449,0.050185170910112875,0.0813259457973574,0.11720574307162303,0.0736832348780013,0.09071196096371334
2021-03-02,0.04826789914491468,0.05130827813361539,0.08046839757320591,0.11583854916534662,0.07238353459448842,0.06985903787232026
